Qty,Description,Unit Cost,Sum Cost,MFG,MFG P/N,Vendor,Vendor P/N,Link
,4-POS CONNECTOR SHELL,,,,,,,
1,4 POSITION SPEC PAK PANEL MOUNT RECEPTACLE SHELL KIT,6.96,6.96,Anderson Power Products,SK2-050B04,Anderson Power Products,SK2-050B04,http://store.andersonpower.com/Search.aspx
1,4 POSITION SPEC PAK RECEPTACLE COVER KIT,3.98,3.98,Anderson Power Products,SK9-050,Anderson Power Products,SK9-050,http://store.andersonpower.com/Search.aspx

,6-POS CONNECTOR SHELL,,,,,,,
1,6 POSITION SPEC PAK PANEL MOUNT RECEPTACLE SHELL KIT,9.91,9.91,Anderson Power Products,SK2-053B06,Anderson Power Products,SK2-053B06,http://store.andersonpower.com/Search.aspx

1,6 POSITION SPEC PAK RECEPTACLE COVER KIT,5.04,5.04,Anderson Power Products,SK9-053,Anderson Power Products,SK9-053,http://store.andersonpower.com/Search.aspx

,CONNECTOR HOUSINGS,,,,,,,
6,POWERPOLE15/45 RED HOUSING,0.34,2.04,Anderson Power Products,1327-BK,Anderson Power Products,1327-BK,http://store.andersonpower.com/Search.aspx
2,POWERPOLE15/45 BLACK HOUSING,0.34,0.68,Anderson Power Products,1327G6-BK,Anderson Power Products,1327G6-BK,http://store.andersonpower.com/Search.aspx
1,POWERPOLE15/45 WHITE HOUSING,0.34,0.34,Anderson Power Products,1327G7-BK,Anderson Power Products,1327G7-BK,http://store.andersonpower.com/Search.aspx
1,POWERPOLE15/45 YELLOW HOUSING,0.34,0.34,Anderson Power Products,1327G16-BK,Anderson Power Products,1327G16-BK,http://store.andersonpower.com/Search.aspx

,CONNECTOR CONTACTS,,,,,,,
10,20-16 AWG SILVER LOW DETENT CONTACT FOR POWERPOLE 15/45,0.20,2.00,Anderson Power Products,1332-BK,Anderson Power Products,1332-BK,http://store.andersonpower.com/Search.aspx

,POTTING,,,,,,,
?,Dow Corning SE 4445 CV Thermally Conductive Gel Gray 210 mL Cartridge,115.73,?,Dow Corning,4025973,Ellsworth Adhesives,SE 4445 CV KIT 210ML,https://www.ellsworth.com/products/by-market/consumer-products/thermally-conductive-materials/encapsulants/dow-corning-se-4445-cv-thermally-conductive-gel-gray-210-ml-cartridge/

,ENCAPSULATION SHELL,,,,,,,
,Look on Maryland Plastic Products or Mouser 'Potting Box',,,,,,,
