Qty,Description,Unit Cost,Sum Cost,MFG,MFG P/N,Vendor,Vendor P/N,Link
,4-POS CONNECTOR SHELL,,,,,,,
2,4 POSITION SPEC PAK PLUG SHELL KIT,6.01,12.02,Anderson Power Products,SK6-050B04,Anderson Power Products,SK6-050B04,http://store.andersonpower.com/Search.aspx
2,4 POSITION/SOLAR SPEC PAK STRAIGHT SHORT THREAD CABLE GLAND (PS01),2.27,4.54,Anderson Power Products,PS1P16-10X,Anderson Power Products,PS1P16-10X,http://store.andersonpower.com/Search.aspx
2,4 POSITION SPEC PAK PLUG COVER KIT,4.29,8.58,Anderson Power Products,SK9P-050,Anderson Power Products,SK9P-050,http://store.andersonpower.com/Search.aspx

,6-POS CONNECTOR SHELL,,,,,,,
1,6 POSITION SPEC PAK PLUG SHELL KIT,9.34,9.34,Anderson Power Products,SK6-053B06,Anderson Power Products,SK6-053B06,http://store.andersonpower.com/Search.aspx
1,6 POSITION SPEC PAK STRAIGHT SHORT THREAD CABLE GLAND (PS01),2.57,2.57,Anderson Power Products,PS1P21-16X,Anderson Power Products,PS1P21-16X,http://store.andersonpower.com/Search.aspx

,CONNECTOR HOUSINGS,,,,,,,
6,POWERPOLE15/45 RED HOUSING,0.34,2.04,Anderson Power Products,1327-BK,Anderson Power Products,1327-BK,http://store.andersonpower.com/Search.aspx
2,POWERPOLE15/45 BLACK HOUSING,0.34,0.68,Anderson Power Products,1327G6-BK,Anderson Power Products,1327G6-BK,http://store.andersonpower.com/Search.aspx
1,POWERPOLE15/45 WHITE HOUSING,0.34,0.34,Anderson Power Products,1327G7-BK,Anderson Power Products,1327G7-BK,http://store.andersonpower.com/Search.aspx
1,POWERPOLE15/45 YELLOW HOUSING,0.34,0.34,Anderson Power Products,1327G16-BK,Anderson Power Products,1327G16-BK,http://store.andersonpower.com/Search.aspx

,CONNECTOR CONTACTS,,,,,,,
10,20-16 AWG SILVER LOW DETENT CONTACT FOR POWERPOLE 15/45,0.20,2.00,Anderson Power Products,1332-BK,Anderson Power Products,1332-BK,http://store.andersonpower.com/Search.aspx

,WIRE,,,,,,,
,Extend solenoid wires?,,,,,,,
,Cable with 4 conductors?,,,,,,,

,HEAT SHRINK,,,,,,,
